MORATORIUM TYPE,STREET ADDRESS BEGIN,STREET ADDRESS END,STREET ADDRESS PREFIX,STREET NAME,STREET NAME SUFFIX,START DATE,EXPIRATION DATE
Street Resurfacing,2100,2229,E,97TH,ST,2011-07-17T00:00:00,2017-11-16T00:00:00
Street Resurfacing,6100,6159,N,GREENVIEW,AVE,2011-08-01T00:00:00,2018-06-01T00:00:00
Street Resurfacing,1732,1757,W,WAVELAND,AVE,2014-06-19T00:00:00,2019-06-19T00:00:00
Street Resurfacing,7900,7900,S,EXCHANGE,AVE,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,10500,10700,S,LA SALLE,ST,2014-12-22T00:00:00,2019-12-22T00:00:00
Street Resurfacing,2401,2659,N,DRAKE,AVE,2012-07-12T00:00:00,2017-06-28T00:00:00
Street Resurfacing,3100,3159,S,RIDGEWAY,AVE,2013-05-03T00:00:00,2018-05-03T00:00:00
Street Construction,3100,3147,W,WINONA,ST,2013-08-27T00:00:00,2023-08-27T00:00:00
Street Construction,1600,1729,N,THROOP,ST,2011-08-18T00:00:00,2021-05-30T00:00:00
Street Resurfacing,1000,1059,N,LOREL,AVE,2014-10-17T00:00:00,2019-10-17T00:00:00
Street Resurfacing,12100,12259,S,LA SALLE,ST,2015-06-12T00:00:00,2020-06-12T00:00:00
Street Resurfacing,1500,1735,W,MONTROSE,AVE,2012-02-14T00:00:00,2017-02-14T00:00:00
Street Resurfacing,900,1059,E,48TH,ST,2011-08-17T00:00:00,2018-06-27T00:00:00
Street Resurfacing,2832,3105,W,LOGAN,BLVD,2011-07-21T00:00:00,2017-06-10T00:00:00
Street Resurfacing,2206,2359,N,SHEFFIELD,AVE,2013-09-06T00:00:00,2018-08-16T00:00:00
Street Resurfacing,6032,6125,W,58TH,ST,2011-07-20T00:00:00,2017-08-25T00:00:00
Street Resurfacing,4400,4459,N,LOCKWOOD,AVE,2014-09-02T00:00:00,2019-09-02T00:00:00
Street Resurfacing,4000,4158,N,FRANCISCO,AVE,2013-10-11T00:00:00,2018-10-11T00:00:00
Street Construction,12730,12826,S,PARNELL,AVE,2015-10-28T00:00:00,2025-06-08T00:00:00
Traffic Restriction,2258,2258,E,80TH,ST,2015-06-12T00:00:00,2030-12-31T00:00:00
Street Resurfacing,2601,2859,S,WALLACE,ST,2012-12-20T00:00:00,2017-11-21T00:00:00
Street Resurfacing,9700,9959,S,BELL,AVE,2011-07-31T00:00:00,2017-07-27T00:00:00
